#Dybde	Densitet
0 343.474057576952
1.1 343.474057576952
1.1 344.992174958507
1.65 344.992174958507
1.65 365.866288954896
2.2 365.866288954896
2.2 379.149816043508
2.75 379.149816043508
2.75 398.126283312953
3.3 398.126283312953
3.3 382.945109497397
3.85 382.945109497397
3.85 409.51216367462
4.4 409.51216367462
4.4 413.307457128509
4.95 413.307457128509
4.95 415.205103855453
5.5 415.205103855453
5.5 436.079217851842
6.05 436.079217851842
6.05 455.055685121287
6.6 455.055685121287
6.6 470.236858936843
7.15 470.236858936843
7.15 468.339212209899
7.7 468.339212209899
7.7 475.929799117677
8.25 475.929799117677
8.25 496.803913114066
8.8 496.803913114066
8.8 506.292146748788
9.35 506.292146748788
9.35 500.599206567955
9.9 500.599206567955
9.9 508.189793475733
10.45 508.189793475733
10.45 498.70155984101
11 498.70155984101
11 513.882733656566
11.55 513.882733656566
11.55 504.394500021844
12.1 504.394500021844
12.1 534.756847652955
12.65 534.756847652955
12.65 542.347434560733
13.2 542.347434560733
13.2 546.142728014622
13.75 546.142728014622
13.75 548.040374741567
14.3 548.040374741567
14.3 553.7333149224
14.85 553.7333149224
14.85 563.221548557123
15.4 563.221548557123
15.4 561.323901830178
15.95 561.323901830178
15.95 565.119195284067
16.5 565.119195284067
16.5 568.914488737956
17.05 568.914488737956
17.05 570.812135464901
17.6 570.812135464901
17.6 577.392903221555
18.16 577.392903221555
18.16 573.651577234107
18.7 573.651577234107
18.7 582.198015826568
19.25 582.198015826568
19.25 576.505075645734
19.8 576.505075645734
19.8 584.095662553512
20.35 584.095662553512
20.35 589.788602734346
20.9 589.788602734346
20.9 606.867423276846
21.45 606.867423276846
21.45 599.276836369068
22 599.276836369068
22 606.867423276846
22.55 606.867423276846
22.55 606.867423276846
23.1 606.867423276846
23.1 608.76507000379
23.65 608.76507000379
23.65 614.240132227086
24.19 614.240132227086
24.19 605.34930589529
24.75 605.34930589529
24.75 616.355656911568
25.3 616.355656911568
25.3 620.150950365457
25.85 620.150950365457
25.85 631.536830727124
26.4 631.536830727124
26.4 620.150950365457
26.95 620.150950365457
26.95 633.434477454069
27.5 633.434477454069
27.5 629.63918400018
28.05 629.63918400018
28.05 641.025064361847
28.6 641.025064361847
28.6 637.229770907958
29.15 637.229770907958
29.15 639.127417634902
29.7 639.127417634902
29.7 641.025064361847
30.25 641.025064361847
30.25 644.820357815736
30.8 644.820357815736
30.8 644.820357815736
31.35 644.820357815736
31.35 650.513297996569
31.9 650.513297996569
31.9 665.694471812125
32.45 665.694471812125
32.45 647.477063233458
33 647.477063233458
33 665.694471812125
33.55 665.694471812125
33.55 660.001531631291
34.1 660.001531631291
34.1 667.592118539069
34.65 667.592118539069
34.65 660.001531631291
35.2 660.001531631291
35.2 663.79682508518
35.75 663.79682508518
35.75 669.489765266014
36.3 669.489765266014
36.3 677.080352173792
36.85 677.080352173792
36.85 677.080352173792
37.4 677.080352173792
37.4 678.977998900736
37.95 678.977998900736
37.95 682.773292354625
38.5 682.773292354625
38.5 682.773292354625
39.05 682.773292354625
39.05 684.67093908157
39.6 684.67093908157
39.6 684.67093908157
40.15 684.67093908157
40.15 680.875645627681
40.7 680.875645627681
40.7 688.466232535459
41.25 688.466232535459
41.25 688.466232535459
41.8 688.466232535459
41.8 692.261525989348
42.35 692.261525989348
42.35 692.261525989348
42.9 692.261525989348
42.9 697.954466170181
43.45 697.954466170181
43.45 709.340346531848
44 709.340346531848
44 699.852112897126
44.55 699.852112897126
44.55 718.82858016657
45.1 718.82858016657
45.1 711.237993258793
45.65 711.237993258793
45.65 699.852112897126
46.2 699.852112897126
46.2 722.623873620459
46.7499999999999 722.623873620459
46.7499999999999 728.316813801293
47.2999999999999 728.316813801293
47.2999999999999 726.419167074348
47.8499999999999 726.419167074348
47.8499999999999 720.726226893515
48.3999999999999 720.726226893515
48.3999999999999 739.70269416296
48.9499999999999 739.70269416296
48.9499999999999 728.316813801293
49.4999999999999 728.316813801293
49.4999999999999 735.907400709071
50.0499999999999 735.907400709071
50.0499999999999 732.112107255182
50.5999999999999 732.112107255182
50.5999999999999 743.497987616849
51.1499999999999 743.497987616849
51.1499999999999 739.70269416296
51.6999999999999 739.70269416296
51.6999999999999 737.805047436015
52.2499999999999 737.805047436015
52.2499999999999 739.70269416296
52.7999999999999 739.70269416296
52.7999999999999 751.088574524627
53.3499999999999 751.088574524627
53.3499999999999 751.088574524627
53.8999999999999 751.088574524627
53.8999999999999 747.293281070738
54.4499999999999 747.293281070738
54.4499999999999 752.986221251571
54.9999999999999 752.986221251571
54.9999999999999 754.883867978516
55.5499999999999 754.883867978516
55.5499999999999 758.679161432405
56.0999999999999 758.679161432405
56.0999999999999 760.576808159349
56.6499999999999 760.576808159349
56.6499999999999 758.679161432405
57.1999999999999 758.679161432405
57.1999999999999 760.576808159349
57.7499999999999 760.576808159349
57.7499999999999 766.269748340183
58.2999999999999 766.269748340183
58.2999999999999 770.065041794071
58.8499999999999 770.065041794071
58.8499999999999 770.065041794071
59.3999999999999 770.065041794071
59.3999999999999 773.860335247961
59.9499999999999 773.860335247961
59.9499999999999 773.860335247961
60.4999999999999 773.860335247961
60.4999999999999 785.246215609627
61.0499999999999 785.246215609627
61.0499999999999 777.655628701849
61.5999999999999 777.655628701849
61.5999999999999 782.392717198
62.1399999999999 782.392717198
62.1399999999999 787.997803363697
62.6999999999999 787.997803363697
62.6999999999999 773.860335247961
63.2499999999999 773.860335247961
63.2499999999999 789.041509063516
63.7999999999999 789.041509063516
63.7999999999999 785.246215609627
